idSolicitudes;FechaEntradaOCM;idSolicitantes;idEstados;idInstituciones;idDocumentos;idDistrito;idDelegacion;Distritos_idDistritos;AprobadaOCM;FechaAprobacionOCM;FechaPresentacion;FechaInicioExpediente;TextoCabecera;Descripción;SolicitudPrevia;Observaciones;Instituciones_idInstituciones;Solicitantes_idSolicitantes;Estados_idEstados;FechaContestacion;Imagen;SeguimientoSolicitante;idPrograma;idEconomico;GradoRespuesta;Delegaciones_idDelegaciones;Estados_idEstados1;createdAt;updatedAt;idUserCreate;idUserUpdate
137;;0;0;0;0;0;0;1;;;;;;Relación gastos recogida de residuos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
138;;0;0;0;0;0;0;1;;;;;;Ejecucion ingresos tasas recogida basura;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
139;;0;0;0;0;0;0;1;;;;;; Plan municipal de vivienda y suelo 2019-2022;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
140;;0;0;0;0;0;0;1;;;;;;Registro Municipal de Solares y Edificaciones Ruinosas;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
141;;0;0;0;0;0;0;1;;;;;;Bodega sita en calle Pizarro;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
142;;0;0;0;0;0;0;1;;;;;;Expediente de contratación menor de estudio de adaptación del PGOU;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
143;;0;0;0;0;0;0;1;;;;;;Manual de procedimientos de la estrategia de desarrollo urbano sostenible integrado Jerez 2022;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
144;;0;0;0;0;0;0;1;;;;;;Informes de Periodo Medio de Pago a Proveedores (PMP) meses de Julio y agosto 2019;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
145;;0;0;0;0;0;0;1;;;;;;Datos pluviometros;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
146;;0;0;0;0;0;0;1;;;;;;Datos propiedad varios locales;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
147;;0;0;0;0;0;0;1;;;;;;Información aparcamientos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
148;;0;0;0;0;0;0;1;;;;;;Informacion sobre aparcamientos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
149;;0;0;0;0;0;0;1;;;;;;Servicio grua municipal;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
150;;0;0;0;0;0;0;1;;;;;;Aceptación subvención eje Arroyo;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
151;;0;0;0;0;0;0;1;;;;;;Gastos Consejo del motor;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
152;;0;0;0;0;0;0;1;;;;;;Datos diferencias multas trafico y tasas basura;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
153;;0;0;0;0;0;0;1;;;;;;Refuerzo de firme de calzada en vias públicas. (Plan invierte 2019);0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
154;;0;0;0;0;0;0;1;;;;;;Control redes de abastecimiento y alcantarillado;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
155;;0;0;0;0;0;0;1;;;;;;Mantenimiento parques infantiles;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
156;;0;0;0;0;0;0;1;;;;;;Listado inversiones Aquajerez;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
